Tanggal,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Tn,Tx
1/1/2019,27.8,82,3.2,5.4,8,350,3,N ,24.8,31
2/1/2019,27.5,84,0,2.5,5,270,2,W ,25.6,31
3/1/2019,27.5,85,1.6,2.6,4,10,1,C ,25,29.8
4/1/2019,28.1,80,,0,6,10,2,C ,25.2,31
5/1/2019,28.5,81,0,0,5,340,2,C ,25.2,31
6/1/2019,29,79,0,9,6,320,2,C ,25.2,32.4
7/1/2019,29.4,79,0,11,5,360,2,N ,26.8,32.6
8/1/2019,28.1,85,0,6.8,5,360,1,C ,25.4,31.8
9/1/2019,29,84,27.6,5.8,6,360,2,C ,25,31.6
10/1/2019,28.7,81,0,7.9,3,300,1,C ,25.6,32.2
11/1/2019,29.2,82,1,8.4,5,340,1,C ,25.8,31.6
12/1/2019,28.6,82,6.7,9.6,4,360,2,N ,25.4,31.8
13-01-2019,27.7,86,1.8,8.5,5,290,1,C ,25,31.6
14-01-2019,27.5,84,1,5.8,6,270,2,W ,24.4,31
15-01-2019,28.2,82,0,4.7,8,270,2,C ,25.4,32
16-01-2019,27.3,88,1.2,5.7,5,270,2,C ,25.8,29.8
17-01-2019,27.9,84,0.6,0,8,270,4,W ,26,31.6
18-01-2019,27,88,22.9,6,4,350,1,C ,24.2,31.2
19-01-2019,27.4,86,8.6,5.6,4,340,1,C ,24.8,30.2
20-01-2019,27.8,83,5.2,4,2,350,0,C ,25.6,30
21-01-2019,27.3,88,,,6,270,2,W ,25,31.6
22-01-2019,26.2,90,20.8,4.8,11,250,4,W ,24.8,29.8
23-01-2019,26.3,87,40.8,0,9,280,3,W ,23.8,30.4
24-01-2019,27.8,83,5,1.4,8,310,4,W ,24.4,31.2
25-01-2019,26.5,90,4.1,5,9,280,2,W ,25,29
26-01-2019,27.5,84,13,0,21,250,5,W ,25,31
27-01-2019,25.8,93,33.9,6.2,9,260,2,C ,24,27.4
28-01-2019,26.6,86,10.9,0,5,300,2,C ,24.6,27.8
29-01-2019,26.7,90,1,0,5,270,2,C ,24,29.6
30-01-2019,26.6,85,3.5,0.7,7,330,3,W ,23.4,31.2
31-01-2019,26.9,90,0,10.2,4,340,1,C ,24,30.4
1/2/2019,27.3,87,2.8,2,5,360,2,C ,24.2,31.4
2/2/2019,27.4,87,1,6.5,5,270,2,C ,24.6,30.4
3/2/2019,25.9,,1,6.3,5,320,1,C ,24.6,30.8
4/2/2019,26.9,86,25.4,1.9,5,330,1,C ,22,31.2
5/2/2019,26.6,88,7.5,6,6,340,2,C ,24.4,30.6
6/2/2019,26.5,89,30.5,3.5,6,330,1,C ,23.2,30.8
7/2/2019,27.6,86,12.1,7.3,6,290,2,C ,24.8,31.4
8/2/2019,26.6,90,46.4,5.5,3,280,1,C ,23.8,30.8
9/2/2019,28.4,85,9.5,3.8,4,360,1,C ,24.6,31.6
10/2/2019,28.4,84,0.2,6.7,7,360,2,N ,26,31
11/2/2019,27.7,87,0.4,6.5,5,340,2,C ,25.2,31.2
12/2/2019,28,81,4.8,0.2,3,350,1,C ,24.8,31.2
13-02-2019,28,81,4.8,0.2,3,350,1,C ,24.8,31.2
14-02-2019,27.9,83,,6.2,6,340,2,N ,25,31.4
15-02-2019,27.4,89,0,7.3,3,260,1,C ,26,31
16-02-2019,27.8,85,23,2.4,8,130,2,C ,25,31.4
17-02-2019,28,81,40,9.6,4,250,2,C ,22,31.8
18-02-2019,27.7,84,0,9.7,4,360,2,C ,25.4,31.4
19-02-2019,28.2,81,0,6.6,5,350,1,C ,24.2,31.8
